time,distance,h_error,Q_error,h_true,h_pred,Q_true,Q_pred
70.0,2000.0,0.0001450479,0.0029410124,0.3921553,0.39230034,0.5626012,0.5596602
80.0,0.0,0.00027546287,0.022139728,0.40235806,0.40263352,0.82973266,0.8518724
80.0,100.0,0.015105933,0.03654784,0.4238856,0.40877968,0.8170405,0.78049266
80.0,200.0,0.01698929,0.054107487,0.43169773,0.41470844,0.7755235,0.721416
80.0,300.0,0.0064361393,0.021412432,0.42621446,0.41977832,0.6935772,0.67216474
80.0,400.0,0.0016761422,0.0026332736,0.4215334,0.42320955,0.625388,0.6280213
80.0,500.0,0.006629348,0.015820742,0.41803515,0.4246645,0.57014763,0.5859684
80.0,600.0,0.009073108,0.021181405,0.41534373,0.42441684,0.52434534,0.54552674
80.0,700.0,0.009712815,0.02138567,0.41315427,0.4228671,0.48581868,0.50720435
80.0,800.0,0.01197803,0.017096043,0.4083054,0.42028344,0.45539922,0.47249526
80.0,900.0,0.013808101,0.024394214,0.40127268,0.4150808,0.4378761,0.46227032
80.0,1000.0,0.01023978,0.01979351,0.39999923,0.410239,0.43379724,0.45359075
80.0,1100.0,0.005708009,0.010909826,0.39996788,0.4056759,0.43386582,0.44477564
80.0,1200.0,0.0034266412,0.0040306747,0.39834118,0.40176782,0.43523636,0.43926704
80.0,1300.0,0.0038102865,0.0062651634,0.39497232,0.3987826,0.44117552,0.44744068
80.0,1400.0,0.002339214,0.0050686896,0.3940067,0.3963459,0.45334944,0.45841813
80.0,1500.0,0.0006929338,0.0007607043,0.39359853,0.39429146,0.46834922,0.46910992
80.0,1600.0,0.00036004186,0.0017674267,0.39314732,0.39278728,0.4843546,0.48258716
80.0,1700.0,0.0008328855,0.002585113,0.39264715,0.39181426,0.50146794,0.49888283
80.0,1800.0,0.0007608831,0.0024286509,0.39209074,0.39132985,0.51980555,0.5173769
80.0,1900.0,0.00029310584,0.002256751,0.39147434,0.39118123,0.53948957,0.5372328
80.0,2000.0,0.00021705031,0.0027338266,0.39109683,0.39131388,0.5603211,0.55758727
90.0,0.0,0.00023028255,0.021067023,0.40265378,0.40288407,0.8292067,0.8502737
90.0,100.0,0.015186191,0.035698116,0.42497483,0.40978864,0.81733704,0.7816389
90.0,200.0,0.018298596,0.056557,0.43475878,0.4164602,0.78141683,0.72485983
90.0,300.0,0.007950038,0.026567578,0.4301249,0.42217487,0.7038994,0.6773318
90.0,400.0,0.0014122725,0.001387775,0.42464525,0.42605752,0.63282645,0.6342142
90.0,500.0,0.0071386993,0.016770542,0.4205797,0.4277184,0.5757043,0.5924748
90.0,600.0,0.009970486,0.023138583,0.41746917,0.42743966,0.5286176,0.5517562
90.0,700.0,0.010751575,0.023554325,0.41492367,0.42567524,0.48922837,0.5127827
90.0,800.0,0.0131833255,0.019187868,0.4095739,0.42275724,0.4580657,0.47725356
90.0,900.0,0.015124381,0.02644369,0.40181062,0.416935,0.43932393,0.46576762
90.0,1000.0,0.011447072,0.022032768,0.40002733,0.4114744,0.43391016,0.45594293
90.0,1100.0,0.0064036846,0.012256771,0.3999509,0.40635458,0.4338865,0.44614327
90.0,1200.0,0.0037834942,0.004648477,0.39819512,0.4019786,0.43520817,0.43985665
90.0,1300.0,0.004108906,0.006705582,0.3945297,0.3986386,0.44072318,0.44742876
90.0,1400.0,0.0026066303,0.005621791,0.3932984,0.39590502,0.45221883,0.45784062
90.0,1500.0,0.00078099966,0.0010013282,0.39282772,0.39360872,0.46703747,0.4680388
90.0,1600.0,0.0003913641,0.0017744899,0.3923243,0.39193293,0.48290575,0.48113126
90.0,1700.0,0.0009123087,0.002709955,0.39176652,0.3908542,0.49986228,0.49715233
90.0,1800.0,0.0008254945,0.0025449395,0.39114645,0.39032096,0.5180199,0.515475
90.0,1900.0,0.0002965927,0.0022472143,0.39046267,0.39016607,0.5374914,0.53524417
90.0,2000.0,0.0002706051,0.0024917722,0.39005157,0.39032218,0.5580708,0.555579
100.0,0.0,0.00019142032,0.019861996,0.40294975,0.40314117,0.8289198,0.8487818
100.0,100.0,0.015165597,0.034917533,0.4259729,0.4108073,0.8177441,0.78282654
100.0,200.0,0.019094646,0.057188332,0.43732053,0.41822588,0.785489,0.7283007
100.0,300.0,0.00965485,0.032452166,0.43424493,0.42459008,0.71492326,0.6824711
100.0,400.0,0.0010507405,0.00024354458,0.4278769,0.42892763,0.64061207,0.6403685
100.0,500.0,0.007591814,0.017469108,0.42320368,0.4307955,0.58146995,0.59893906
100.0,600.0,0.010835022,0.024921238,0.4196499,0.43048492,0.53302175,0.557943
100.0,700.0,0.0117738545,0.025601,0.41673028,0.42850414,0.4927182,0.5183192
100.0,800.0,0.014363259,0.0211882,0.4108869,0.42525017,0.46078345,0.48197165
100.0,900.0,0.0163787,0.028337777,0.40242025,0.41879895,0.44088605,0.46922383
100.0,1000.0,0.012612402,0.024083853,0.4001007,0.4127131,0.43417513,0.458259
100.0,1100.0,0.007099688,0.013578057,0.39993304,0.40703273,0.43390423,0.4474823
100.0,1200.0,0.004129082,0.005251646,0.3980581,0.40218717,0.43517458,0.44042623
100.0,1300.0,0.0043727458,0.007096112,0.39411741,0.39849016,0.44030982,0.44740593
100.0,1400.0,0.0028393567,0.0060851574,0.39261794,0.3954573,0.4511732,0.45725834
100.0,1500.0,0.0008532405,0.0012278557,0.39206338,0.39291662,0.4657371,0.46696496
100.0,1600.0,0.00044199824,0.0017998219,0.39150855,0.39106655,0.48146975,0.47966993
100.0,1700.0,0.0010155141,0.0028623343,0.39089423,0.38987872,0.49827182,0.4954095
100.0,1800.0,0.00091934204,0.0027026534,0.39021167,0.38929233,0.51625234,0.5135497
100.0,1900.0,0.00033569336,0.002296269,0.3894626,0.3891269,0.5355148,0.5332185
100.0,2000.0,0.0002823472,0.0023320317,0.38901907,0.38930142,0.55585015,0.5535181
110.0,0.0,0.0001784265,0.018616855,0.4032459,0.40342432,0.82881564,0.8474325
110.0,100.0,0.01507917,0.03421396,0.42689398,0.4118148,0.81823033,0.7840164
110.0,200.0,0.019647181,0.057186306,0.43959317,0.41994599,0.78882104,0.73163474
110.0,300.0,0.011498749,0.038497865,0.43842947,0.42693073,0.725926,0.6874281
110.0,400.0,0.00046432018,0.002477765,0.4312383,0.4317026,0.6487762,0.6462984
110.0,500.0,0.007854164,0.017706156,0.42591238,0.43376654,0.5874594,0.60516554
110.0,600.0,0.011534095,0.02633202,0.42188814,0.43342224,0.5375679,0.56389993
110.0,700.0,0.0126544535,0.027353346,0.41857663,0.43123108,0.49629366,0.523647
110.0,800.0,0.015408158,0.02295062,0.41224402,0.42765218,0.4635581,0.48650873
110.0,900.0,0.017495602,0.029986054,0.4030975,0.4205931,0.4425535,0.47253954
110.0,1000.0,0.013681501,0.025892377,0.40022343,0.41390494,0.43458307,0.46047544
110.0,1100.0,0.0077723563,0.0148433745,0.39991412,0.40768647,0.43391705,0.44876042
110.0,1200.0,0.0044618547,0.005830288,0.3979293,0.40239117,0.4351374,0.44096768
110.0,1300.0,0.0046198964,0.0074507296,0.3937326,0.3983525,0.43993,0.44738072
110.0,1400.0,0.0030670464,0.006495297,0.39196596,0.395033,0.45020258,0.45669788
110.0,1500.0,0.0009534359,0.0014871359,0.39130506,0.3922585,0.4644465,0.46593365
110.0,1600.0,0.00045886636,0.0017808378,0.39069995,0.3902411,0.48004666,0.47826582
110.0,1700.0,0.0010821819,0.0029647648,0.39003012,0.38894793,0.49669656,0.4937318
110.0,1800.0,0.0009766519,0.0028108954,0.38928634,0.3883097,0.51450276,0.51169187
110.0,1900.0,0.000341475,0.0023026466,0.38847384,0.38813236,0.53356,0.53125733
110.0,2000.0,0.00032404065,0.0021435022,0.38799888,0.38832292,0.55365866,0.55151516
120.0,0.0,0.00016653538,0.017224252,0.4035423,0.40370885,0.8288536,0.84607786
120.0,100.0,0.014915168,0.033555686,0.42774943,0.41283426,0.81877434,0.78521866
120.0,200.0,0.019967645,0.05675018,0.4416576,0.42168996,0.7917559,0.73500574
120.0,300.0,0.013039798,0.04299295,0.4423467,0.4293069,0.7354409,0.69244796
120.0,400.0,0.00021842122,0.00504148,0.43474022,0.4345218,0.65735203,0.65231055
120.0,500.0,0.008073717,0.017792284,0.42871165,0.43678537,0.59368956,0.61148185
120.0,600.0,0.012219071,0.02767682,0.42418674,0.4364058,0.54226494,0.56994176
120.0,700.0,0.013533026,0.029085666,0.42046514,0.43399817,0.4999605,0.5290462
120.0,800.0,0.016441375,0.02470538,0.41364515,0.43008652,0.4663945,0.4910999
120.0,900.0,0.018569618,0.031565815,0.40383902,0.42240864,0.4443198,0.47588563
120.0,1000.0,0.014711887,0.027583688,0.40039665,0.41510853,0.43512067,0.46270436
120.0,1100.0,0.0084500015,0.016111195,0.3998947,0.40834472,0.43392736,0.45003855
120.0,1200.0,0.0047866404,0.006403446,0.39780816,0.4025948,0.43509796,0.4415014
120.0,1300.0,0.0048390925,0.007765323,0.39337277,0.39821187,0.4395794,0.44734472
120.0,1400.0,0.0032632053,0.006829649,0.39134172,0.39460492,0.44929668,0.45612633
120.0,1500.0,0.0010436773,0.0017258525,0.390553,0.39159667,0.46316734,0.4648932
120.0,1600.0,0.000485152,0.0017793179,0.38989842,0.38941327,0.47863635,0.47685704
120.0,1700.0,0.0011570752,0.0030808449,0.38917407,0.388017,0.49513638,0.49205554
120.0,1800.0,0.0010407567,0.0029283762,0.3883703,0.38732955,0.51277095,0.5098426
120.0,1900.0,0.00035250187,0.0023144484,0.3874961,0.3871436,0.531627,0.52931255
120.0,2000.0,0.00036245584,0.0019593835,0.3869906,0.38735306,0.55149573,0.54953635
130.0,0.0,0.00019365549,0.015865743,0.4038389,0.40403256,0.82900447,0.8448702
130.0,100.0,0.0146565735,0.03282988,0.42854849,0.4138919,0.8193615,0.7865316
130.0,200.0,0.020076424,0.055933893,0.44354963,0.4234732,0.7943999,0.738466
130.0,300.0,0.014149725,0.04559666,0.4458732,0.43172348,0.74314266,0.697546
130.0,400.0,0.0010181963,0.008005083,0.43839866,0.43738046,0.6663976,0.6583925
130.0,500.0,0.00823161,0.017676175,0.431608,0.4398396,0.60018,0.61785614
130.0,600.0,0.012867957,0.028903008,0.42654932,0.43941727,0.54712164,0.57602465
130.0,700.0,0.014386445,0.030742109,0.42239827,0.4367847,0.5037247,0.5344668
130.0,800.0,0.017441273,0.026396513,0.41509047,0.43253174,0.46929717,0.49569368
130.0,900.0,0.019578516,0.033029437,0.40464196,0.42422047,0.44618025,0.4792097
130.0,1000.0,0.015675396,0.029114455,0.40062147,0.41629687,0.43577972,0.46489418
130.0,1100.0,0.009099096,0.017310292,0.3998804,0.4089795,0.43395665,0.45126694
130.0,1200.0,0.005075723,0.0069226027,0.39769402,0.40276974,0.43505716,0.44197977
130.0,1300.0,0.0050033033,0.007996619,0.39303577,0.39803907,0.43925464,0.44725126
130.0,1400.0,0.0033969283,0.007045746,0.3907446,0.39414153,0.44844878,0.45549452
130.0,1500.0,0.0010868907,0.0018767715,0.38981017,0.39089707,0.46191174,0.4637885
130.0,1600.0,0.0005581677,0.0018606186,0.3891038,0.38854563,0.47723866,0.47537804
130.0,1700.0,0.0012817085,0.0032895207,0.38832596,0.38704425,0.4935911,0.49030158
130.0,1800.0,0.0011578798,0.003150344,0.38746342,0.38630554,0.51105666,0.5079063
130.0,1900.0,0.00042030215,0.0024456382,0.38652912,0.38610882,0.5297156,0.52726996
130.0,2000.0,0.00034114718,0.0019122362,0.38599393,0.38633507,0.54936045,0.5474482
140.0,0.0,0.0001680255,0.01456821,0.40413573,0.40430376,0.8292466,0.8438148
140.0,100.0,0.014457226,0.03220749,0.4292988,0.41484156,0.81998175,0.78777426
140.0,200.0,0.020198256,0.055132747,0.4452928,0.42509454,0.79680645,0.7416737
140.0,300.0,0.015143931,0.047312677,0.4490766,0.43393266,0.74957085,0.70225817
140.0,400.0,0.0022242665,0.011933804,0.4422258,0.44000155,0.6759452,0.6640114
140.0,500.0,0.008035868,0.016792,0.43460873,0.4426446,0.60695255,0.62374455
140.0,600.0,0.013206184,0.029494643,0.42897996,0.44218615,0.5521479,0.58164257
140.0,700.0,0.014970213,0.031878293,0.42437857,0.4393488,0.50759256,0.53947085
140.0,800.0,0.01820296,0.027661473,0.41658032,0.43478328,0.4722703,0.49993178
140.0,900.0,0.020385176,0.03414303,0.40550408,0.42588925,0.44813138,0.4822744
